,t_sf2tc,scaledRI,TEX86,gdgt23ratio,no3_sf2tc,datatype
0,-1.6360167264938354,0.5099820144999999,0.413649626,1.5028385087391245,,coretop
1,-1.5868539810180664,0.438075,0.351,2.8333333333333335,,coretop
2,-1.6926417350769043,0.4109305265,0.367015795,1.8248318061950906,,coretop
3,-1.4989100694656372,0.433342362,0.335974106,2.0663961506436106,28.365619659423828,coretop
4,-1.6511913537979126,0.44751755800000004,0.342342241,2.0406397844009057,29.118932723999023,coretop
5,-1.511354923248291,0.462775970625,0.347767956,1.9665956574957013,28.184024810791016,coretop
6,-1.6663100719451904,0.44091268824999996,0.340144487,2.0339672102161495,28.777507781982422,coretop
7,-1.7144100666046143,0.45069549,0.355820516,1.6465586190265664,27.72638511657715,coretop
8,-1.5981600284576416,0.4850053180000001,0.383261552,1.468105329463904,26.04776954650879,coretop
9,-1.3015336990356445,0.47588434225,0.374277256,2.0041396405650023,27.606571197509766,coretop
10,-1.7439600229263306,0.42903841275,0.328856653,1.9887897386429652,25.190494537353516,coretop
11,-1.5617101192474365,0.41527820375,0.355555556,2.1126833481964615,18.76594352722168,coretop
12,-1.6775100231170654,0.48186062025000004,0.319355572,2.5433914241954456,29.180301666259766,coretop
13,-1.5793099403381348,0.42737424475,0.366887705,3.2163124323306502,19.879920959472656,coretop
14,-1.5901416540145874,0.4655,0.367,2.2222222222222223,,coretop
15,-1.7440115213394165,0.46585,0.36,1.9000000000000001,28.24930763244629,coretop
16,-1.4440399408340454,0.493710357,0.394948457,2.30058127955042,,coretop
17,-1.5102978944778442,0.49897227375,0.387179261,2.1707317073170733,,coretop
18,-1.5669549703598022,0.41765230525,0.329183449,2.786786788702829,24.164134979248047,coretop
19,-1.6234076023101807,0.439628223,0.322400584,2.980888469463878,20.070085525512695,coretop
20,-1.6015732288360596,0.463651327,0.366438754,2.06733206031611,28.390804290771484,coretop
21,-1.5727601051330566,0.45414513424999997,0.36022821,2.2557778315406765,23.127052307128906,coretop
22,-0.8413336277008057,0.439058859,0.350266851,1.7902462113647077,18.547128677368164,coretop
23,-1.306668996810913,0.42222793375,0.332529917,3.4327942268801404,29.545196533203125,coretop
24,-1.2298094034194946,0.473225,0.346,2.3703703703703702,29.73427963256836,coretop
25,-1.7067493200302124,0.442841046,0.316240716,3.480778780050713,30.50686264038086,coretop
26,-1.3608869314193726,0.470415545,0.381133442,2.537394873689205,29.382455825805664,coretop
27,-1.4269217252731323,0.51556303125,0.370773927,3.411111127850586,29.395301818847656,coretop
28,-1.4688308238983154,0.489825,0.36,3.766666666666666,29.38151741027832,coretop
29,-1.0620605945587158,0.450375,0.347,2.666666666666667,29.733959197998047,coretop
30,-1.6118074655532837,0.43077808975,0.32526617,3.1749314521645746,29.4638671875,coretop
31,-1.7176644802093506,0.453475,0.338,3.5925925925925926,27.83910369873047,coretop
32,-1.7196258306503296,0.45467919824999997,0.343919868,2.7477836403419738,27.80948257446289,coretop
33,-1.6112598180770874,0.4107999845,0.316870237,3.7665947979461034,29.05880355834961,coretop
34,-1.3932260274887085,0.424725,0.3947951805,6.017857142857142,31.525285720825195,coretop
35,-1.0153765678405762,0.394675,0.446,13.375,28.0153751373291,coretop
36,-1.2138491868972778,0.492325,0.3375,1.7083333333333337,29.314245223999023,coretop
37,-1.342239499092102,0.41475,0.317,6.0,31.195446014404297,coretop
38,-1.3617897033691406,0.39057500000000006,0.363,6.666666666666666,31.53294563293457,coretop
39,-1.4364498853683472,0.3734,0.371,6.730769230769232,31.423084259033203,coretop
40,-1.41696298122406,0.369575,0.337,6.137931034482759,31.33066177368164,coretop
41,-1.5246407985687256,0.400325,0.39,1.7647058823529413,27.964710235595703,coretop
42,-1.0470426082611084,0.383325,0.351,8.16,31.33502197265625,coretop
43,-0.2637539803981781,0.4055,0.304,19.636363636363637,26.98554229736328,coretop
44,-1.5186412334442139,0.401925,0.268,4.739130434782608,29.65337562561035,coretop
45,-1.37356698513031,0.44365,0.373,2.813953488372093,29.903051376342773,coretop
46,-0.9906600117683411,0.42874999999999996,0.34,4.5,29.643497467041016,coretop
47,-1.1948492527008057,0.387775,0.379,9.368421052631579,28.701719284057617,coretop
48,-0.4236903488636017,0.5322,0.364,2.9130434782608696,28.324047088623047,coretop
49,-1.3008044958114624,0.426936711,0.332175933,1.6404665581531033,19.161909103393555,coretop
50,-1.2700916528701782,0.35725,0.341,8.434782608695652,30.812633514404297,coretop
51,-0.9825590252876282,0.43784999999999996,0.438,3.9285714285714284,29.754310607910156,coretop
52,-0.064888134598732,0.440875,0.354,2.238095238095238,,coretop
53,-0.8783005475997925,0.41739999999999994,0.3675,4.608148148148148,29.698366165161133,coretop
54,-1.4846899509429932,0.44650641175000005,0.409613772,1.5702688157651903,20.481210708618164,coretop
55,-0.3755050003528595,0.44106155275,0.374085264,1.8420081684525844,,coretop
56,-1.2816600799560547,0.48725326050000006,0.414511391,1.2915039114300324,19.29085922241211,coretop
57,-1.4440267086029053,0.5490700057500001,0.460791012,1.6177248682271448,19.637935638427734,coretop
58,-1.0054079294204712,0.43979999999999997,0.321,4.7407407407407405,31.11529541015625,coretop
59,-0.6385653018951416,0.416375,0.447,4.392857142857143,29.715499877929688,coretop
60,-0.40940147638320923,0.36495,0.357,8.2,29.190135955810547,coretop
61,-1.138327956199646,0.517825,0.437,1.576923076923077,12.457179069519043,coretop
62,-0.49674952030181885,0.43871928024999995,0.342024672,2.785434228720428,27.192424774169922,coretop
63,-0.5684237480163574,0.45023147075,0.369507393,1.8503855460417995,20.461668014526367,coretop
