,sampleID,sampleName,Source,modernWaterDepth,Latitude,Longitude,SST,TEX86,RI_zhang16,RI_zhang16_revised,RI_0to5,gdgt23ratio,BIT,gdgtZeroOverZeroCren,methaneIndex,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,datatype,phyloT_order,Temperature,Temperature_thermoT,Temperature_thermoT_depthIntegral,Temperature_thermoT_weightedIntegral,violin_bins,GTDB_phylum,NCBI_phylum,GTDB_class,NCBI_class,GTDB_order,NCBI_order,GTDB_family,NCBI_family,Strains,experiment_setup,organism_broadClass,organism_broadClass2,organism_broadClass3,GTDB_classGTDB_family,ringIndex_0to8,ringIndex_0to6,reported_1302,reported_1300,reported_1298,reported_1296,reported_1292,reported_1292_iso,reported_1294,reported_1290,reported_1288,reported_1286,reported_1292_iso2,reported_1294_iso,reported_1290_iso,reported_1288_iso,reported_1286_iso,RI_zhang16_scaled,RI_zhang16_revised_scaled,RI_0to5_scaled,ringIndex_0to6_scaled,ringIndex_0to8_scaled,QC_flag,anti_TEX86,T50_threshold,T_bins,CPOCratio,gdgt12ratio,CPMPindex,Bp21index
605,TEXAS_PSM_RR00627,PS2455-3,Ho2014,3429.0,79.6517,130.535,-1.297410011291504,0.38,1.8664,2.3114999999999997,2.3114999999999997,2.0317460317460316,-999.0,0.4942,0.11983389361281391,0.4942,0.0415,0.0128,0.0063,0.4388,0.0063,coretop,-1.0,-1.297410011291504,-0.14400999248027802,-1.5295960903167725,-0.2851260533564549,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.3114999999999997,2.3114999999999997,,,,,,,,,,,,,,,,0.4666,0.46229999999999993,0.46229999999999993,0.3852499999999999,0.28893749999999996,include,0.4703108252947481,below,-4to0,0.014154122669063131,3.2421875,0.26778242677824265,0.08583106267029972
606,TEXAS_PSM_RR00628,PS2470-1,Ho2014,3237.0,79.2267,122.855,-1.4314099550247192,0.412,1.8777,2.3245,2.3245,2.928571428571429,-999.0,0.4903,0.12340592505395329,0.4903,0.0409,0.0164,0.0056,0.4401,0.0067,coretop,-1.0,-1.4314099550247192,0.7372000217437744,-1.3120239973068237,-0.2421948634462084,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.3245,2.3245,,,,,,,,,,,,,,,,0.469425,0.4649,0.4649,0.3874166666666667,0.2905625,include,0.47302235597592435,below,-4to0,0.014995523724261417,2.49390243902439,0.3526881720430108,0.07061790668348046
607,TEXAS_PSM_RR00629,PS2473-3,Ho2014,1927.0,77.9817,118.5717,-1.3030099868774414,0.481,1.8692000000000002,2.3184,2.3184,3.6363636363636362,-999.0,0.5031,0.09581320450885669,0.5031,0.0272,0.016,0.0044,0.4444,0.0048,coretop,-1.0,-1.3030099868774414,-1.5620100498199463,-1.359410047531128,-1.6165182632407493,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.3184,2.3184,,,,,,,,,,,,,,,,0.46730000000000005,0.46368,0.46368,0.3864,0.2898,include,0.469023746701847,below,-4to0,0.010685663401602848,1.7,0.5063291139240507,0.06918238993710692
608,TEXAS_PSM_RR00630,PS2474-2,Ho2014,1497.0,77.67,118.575,-1.258810043334961,0.46,1.9136,2.3754999999999997,2.3754999999999997,3.425,-999.0,0.4938,0.08751481627815094,0.4938,0.0266,0.0137,0.004,0.4569,0.005,coretop,-1.0,-1.258810043334961,-1.5158100128173828,-1.3070100545883179,-1.5803966218974648,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.3754999999999997,2.3754999999999997,,,,,,,,,,,,,,,,0.4784,0.47509999999999997,0.47509999999999997,0.39591666666666664,0.29693749999999997,include,0.48059324708109813,below,-4to0,0.01082485386447283,1.9416058394160582,0.4477124183006536,0.06896551724137932
609,TEXAS_PSM_RR00631,PS2478-3,Ho2014,101.0,77.1717,118.71,-1.17739999294281,0.499,1.8982,2.3588,2.3588,2.975,-999.0,0.5034,0.07230614300100706,0.5034,0.02,0.0119,0.004,0.4566,0.004,coretop,-1.0,-1.17739999294281,-1.4239100217819214,-1.2139049768447876,-1.50889674641831,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.3588,2.3588,,,,,,,,,,,,,,,,0.47455,0.47176,0.47176,0.39313333333333333,0.29485,include,0.475625,below,-4to0,0.008684324793747287,1.680672268907563,0.49583333333333335,0.08368200836820082
610,TEXAS_PSM_RR00632,IK9373A-6,Ho2014,46.0,75.81,134.5833,-0.2893100082874298,0.433,1.9792,2.4621,2.4621,1.6744186046511627,-999.0,0.4853,0.06178356324072275,0.4853,0.0203,0.0072,0.0043,0.4789,0.004,coretop,-1.0,-0.2893100082874298,-1.1311100721359253,-0.3707766532897949,-0.9770955213585166,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.4621,2.4621,,,,,,,,,,,,,,,,0.4948,0.49241999999999997,0.49241999999999997,0.41035,0.3077625,include,0.4966811864758349,below,-4to0,0.008283288465520813,2.819444444444444,0.29268292682926833,0.11025641025641028
611,TEXAS_PSM_RR00633,IK9356-2,Ho2014,33.0,74.9967,123.015,-0.5721099972724915,0.447,2.1344,2.6576,2.6576,1.1818181818181817,-999.0,0.4491,0.05010893246187364,0.4491,0.018,0.0052,0.0044,0.5183,0.0049,coretop,-1.0,-0.5721099972724915,-1.0807100534439087,-0.7162233591079712,-1.0512263240061979,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.6576,2.6576,,,,,,,,,,,,,,,,0.5336,0.53152,0.53152,0.44293333333333335,0.3322,include,0.5357659706429605,below,-4to0,0.009365443425076453,3.4615384615384612,0.23214285714285712,0.13414634146341467
612,TEXAS_PSM_RR00634,IK9338-5,Ho2014,34.0,74.4917,119.955,-0.5389100313186646,0.388,1.9073,2.373,2.373,1.1111111111111112,-999.0,0.5038,0.06146715034260379,0.5038,0.021,0.005,0.0045,0.4619,0.0038,coretop,-1.0,-0.5389100313186646,-1.0698100328445435,-0.6336600184440613,-1.2082869926391022,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.373,2.373,,,,,,,,,,,,,,,,0.476825,0.4746,0.4746,0.3955,0.296625,include,0.47830589209899554,below,-4to0,0.008159759501825209,4.2,0.19607843137254902,0.1267605633802817
613,TEXAS_PSM_RR00635,IK9367-2,Ho2014,44.0,75.4817,123.8417,-0.537909984588623,0.42,2.112,2.6291,2.6291,1.2222222222222223,-999.0,0.4537,0.053277187843280845,0.4537,0.0191,0.0055,0.0045,0.5133,0.0038,coretop,-1.0,-0.537909984588623,-1.197309970855713,-0.6610566973686218,-1.1454704869315397,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.6291,2.6291,,,,,,,,,,,,,,,,0.528,0.5258200000000001,0.5258200000000001,0.43818333333333337,0.3286375,include,0.5308169596690796,below,-4to0,0.0073486753045832525,3.4727272727272727,0.2330508474576271,0.13005780346820808
614,TEXAS_PSM_RR00636,PS2461-2,Ho2014,73.0,77.91,133.555,-0.7862100005149841,0.524,1.9487,2.4194,2.4194,3.234042553191489,-999.0,0.4878,0.08066406250000001,0.4878,0.0214,0.0152,0.0047,0.4671,0.0036,coretop,-1.0,-0.7862100005149841,-1.306399941444397,-0.8924800157546997,-1.4050881449604997,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.4194,2.4194,,,,,,,,,,,,,,,,0.487175,0.48388,0.48388,0.40323333333333333,0.302425,include,0.4891611687087653,below,-4to0,0.0076481835564053535,1.407894736842105,0.5823754789272031,0.0831858407079646
615,TEXAS_PSM_RR00637,IK9342-6,Ho2014,34.0,74.51,127.3483,-0.22320999205112457,0.392,1.9186,2.3868,2.3868,1.3571428571428572,-999.0,0.5001,0.0634126825365073,0.5001,0.0218,0.0057,0.0042,0.4641,0.0041,coretop,-1.0,-0.22320999205112457,-1.2445000410079956,-0.45986002683639526,-1.0388185794227112,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.3868,2.3868,,,,,,,,,,,,,,,,0.47965,0.47736,0.47736,0.3978,0.29835,include,0.4813316739265713,below,-4to0,0.008756941478000855,3.824561403508772,0.21923076923076926,0.1122994652406417
616,TEXAS_PSM_RR00638,PS2453-2,Ho2014,38.0,76.5083,133.355,-0.37321001291275024,0.612,1.8889,2.3373,2.3373,3.805970149253731,-999.0,0.4952,0.11172741679873215,0.4952,0.0242,0.0255,0.0067,0.4423,0.0061,coretop,-1.0,-0.37321001291275024,-0.947409987449646,-0.4319849908351898,-1.0444388570296912,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.3373,2.3373,,,,,,,,,,,,,,,,0.472225,0.46746,0.46746,0.38955,0.2921625,include,0.4717866666666667,below,-4to0,0.013603925066904549,0.9490196078431373,0.8252427184466019,0.08180708180708182
617,TEXAS_PSM_RR00639,IK9340-GKG,Ho2014,16.0,74.5,122.9933,-0.5473099946975708,0.478,1.7687000000000002,2.1953000000000005,2.1953000000000005,2.0925925925925926,-999.0,0.5333,0.08611825192802056,0.5333,0.0235,0.0113,0.0054,0.4217,0.0049,coretop,-1.0,-0.5473099946975708,-0.9988099932670593,-0.6204099655151367,-0.86085629327243,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.1953000000000005,2.1953000000000005,,,,,,,,,,,,,,,,0.44217500000000004,0.4390600000000001,0.4390600000000001,0.3658833333333334,0.27441250000000006,include,0.44157068062827226,below,-4to0,0.011486169714017815,2.0796460176991154,0.3910034602076124,0.10485436893203884
618,TEXAS_PSM_RR00640,PS2462-3,Ho2014,54.0,77.405,133.5567,-0.5987100005149841,0.568,1.9899999999999998,2.4686999999999997,2.4686999999999997,3.086206896551724,-999.0,0.4756,0.08714721586575133,0.4756,0.022,0.0179,0.0058,0.4735,0.0052,coretop,-1.0,-0.5987100005149841,-1.1616100072860718,-0.6874850392341614,-1.2877560347112111,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.4686999999999997,2.4686999999999997,,,,,,,,,,,,,,,,0.49749999999999994,0.49373999999999996,0.49373999999999996,0.4114499999999999,0.30858749999999996,include,0.49889368875777046,below,-4to0,0.010862753290160853,1.229050279329609,0.6438848920863309,0.09119496855345913
619,TEXAS_PSM_RR00641,IK9350-6,Ho2014,31.0,75.01,136.03,-0.4319100081920624,0.451,2.1155999999999997,2.6304999999999996,2.6304999999999996,1.6603773584905661,-999.0,0.4486,0.06636446056210336,0.4486,0.0225,0.0088,0.0053,0.5105,0.0044,coretop,-1.0,-0.4319100081920624,-1.2297099828720093,-0.49733835458755493,-0.9254320029356979,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.6304999999999996,2.6304999999999996,,,,,,,,,,,,,,,,0.5288999999999999,0.5260999999999999,0.5260999999999999,0.4384166666666666,0.32881249999999995,include,0.5322698363048691,below,-4to0,0.008545348611380853,2.5568181818181817,0.3165467625899281,0.11674008810572688
620,TEXAS_PSM_RR00642,IK9327-6,Ho2014,30.0,73.9983,119.86,-0.5943099856376648,0.417,1.949,2.4243,2.4243,1.3617021276595744,-999.0,0.4927,0.06307904592943032,0.4927,0.0209,0.0064,0.0047,0.4715,0.0038,coretop,-1.0,-0.5943099856376648,-1.2922099828720093,-0.7461600303649902,-1.2513817523635553,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.4243,2.4243,,,,,,,,,,,,,,,,0.48725,0.48486,0.48486,0.40405,0.3030375,include,0.48900643020120305,below,-4to0,0.007994950557542605,3.2656249999999996,0.25000000000000006,0.12239583333333333
621,TEXAS_PSM_RR00643,PS2728-2,Ho2014,44.0,77.25,135.0083,-0.5468000173568726,0.656,1.8474000000000002,2.2822,2.2822,4.835820895522388,-999.0,0.5028,0.12550281576830247,0.5028,0.0233,0.0324,0.0067,0.4295,0.0053,coretop,-1.0,-0.5468000173568726,-0.9938099980354309,-0.6000074744224548,-1.114165912996626,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.2822,2.2822,,,,,,,,,,,,,,,,0.46185000000000004,0.45644,0.45644,0.3803666666666667,0.285275,include,0.4606886195430655,below,-4to0,0.01218951241950322,0.7191358024691359,1.0799999999999998,0.07067510548523208
622,TEXAS_PSM_RR00644,IK9330-5,Ho2014,27.0,74.0,127.5033,-0.1277099996805191,0.409,1.9776000000000002,2.4601,2.4601,1.3777777777777778,-999.0,0.485,0.06292483977471353,0.485,0.0217,0.0062,0.0045,0.4782,0.0043,coretop,-1.0,-0.1277099996805191,-1.2478100061416626,-0.437443345785141,-0.9436813366545944,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.4601,2.4601,,,,,,,,,,,,,,,,0.49440000000000006,0.49202,0.49202,0.4100166666666667,0.3075125,include,0.49647009966777406,below,-4to0,0.008911917098445596,3.5,0.23664122137404578,0.11658031088082903
623,TEXAS_PSM_RR00645,IK9318-5,Ho2014,24.0,73.4967,137.5517,-0.3722100257873535,0.428,2.0568,2.5545,2.5545,1.6229508196721312,-999.0,0.4585,0.08105612998522894,0.4585,0.0279,0.0099,0.0061,0.4928,0.0049,coretop,-1.0,-0.3722100257873535,-0.6680099964141846,-0.3500100374221802,-0.8063549668350006,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.5545,2.5545,,,,,,,,,,,,,,,,0.5142,0.5109,0.5109,0.42575,0.3193125,include,0.518027961736571,below,-4to0,0.009845288326300983,2.818181818181818,0.2911764705882353,0.11338289962825278
624,TEXAS_PSM_RR00646,IK9316-6,Ho2014,28.0,73.0017,131.5017,0.18419000506401062,0.532,2.1742,2.7022999999999997,2.7022999999999997,1.6363636363636365,-999.0,0.4342,0.0667962537550804,0.4342,0.0204,0.0108,0.0066,0.5223,0.0058,coretop,-1.0,0.18419000506401062,-0.48660001158714294,0.24649500846862793,-0.5785139172530526,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.7022999999999997,2.7022999999999997,,,,,,,,,,,,,,,,0.54355,0.5404599999999999,0.5404599999999999,0.4503833333333333,0.33778749999999996,include,0.5460533193936227,below,0to10,0.010982768415072902,1.8888888888888888,0.39999999999999997,0.13580246913580246
625,TEXAS_PSM_RR00647,IK9307-3,Ho2014,21.0,72.55,131.2967,0.32328999042510986,0.561,2.2591,2.8066,2.8066,1.7432432432432432,-999.0,0.411,0.07030056036678554,0.411,0.0211,0.0129,0.0074,0.5408,0.0067,coretop,-1.0,0.32328999042510986,-0.47631001472473145,0.3669449985027313,-0.5247146034486974,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.8066,2.8066,,,,,,,,,,,,,,,,0.564775,0.56132,0.56132,0.46776666666666666,0.350825,include,0.5681865938222315,below,0to10,0.01223744292237443,1.6356589147286822,0.4526315789473684,0.13627992633517497
626,TEXAS_PSM_RR00648,IK93Z3-2,Ho2014,12.0,73.2917,119.8283,-0.44321000576019287,0.509,1.9580000000000002,2.4215,2.4215,1.3833333333333333,-999.0,0.4731,0.12032643765420382,0.4731,0.0348,0.0166,0.012,0.4559,0.0076,coretop,-1.0,-0.44321000576019287,-0.9000733494758606,-0.9000733494758606,-0.9000733494758606,60to90,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.4215,2.4215,,,,,,,,,,,,,,,,0.48950000000000005,0.4843,0.4843,0.40358333333333335,0.3026875,include,0.4907427341227126,below,-4to0,0.01639697950377562,2.0963855421686746,0.3547008547008548,0.15
