sampleID,sampleName,Strains,organism_reported_names,phyloT_order,GTDB_phylum,GTDB_class,GTDB_order,GTDB_family,GTDB_genus,GTDB_species,NCBI_phylum,NCBI_class,NCBI_order,NCBI_family,NCBI_genus,NCBI_species,organism_broadClass,organism_broadClass2,organism_broadClass3,organism_genomes_combined_WGS_PGS,isolate_from,geographic_location,sampleID_new,reported_Temp,reported_Salinity,reported_pH,reported_oxy_micromolar,reported_ammonium,reported_ionicStrength,reported_AOR_umol_NO2_l_d,reported_growthPhase_growthRate,experiment_setup,Broad Filtration Class,Lipid Extractions,Filter pore size,sum_reported_fractions,reported_1302,reported_1300,reported_1298,reported_1296,reported_1292,reported_1292_iso,reported_1294,reported_1290,reported_1288,reported_1286,reported_1292_iso2,reported_1294_iso,reported_1290_iso,reported_1288_iso,reported_1286_iso,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,BITindex,dataType_level0,dataType_level1,Source,short_remark,full_remark,duplicate_Datasets,incomplete_GDGT_fractions,BIT_QC_above05,gdgt0Cren_QC_above07,MI_QC_above05,QC_Indices_check,detectionLimit_check,Source2,firstAuthor_firstName,DOI,Taxonomy data update,TEX86,ringIndex,scaledRI,gdgt23ratio,methaneIndex,gdgtZeroOverZeroCren,TEX_RI,deltaRI
RR00073,Qin2015_002_Nitrosopumilus maritimus SCM1_Culture_T20,SCM1,Nitrosopumilus maritimus SCM1,7.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus maritimus,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus maritimus,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,a tropical marine fish tank at the Seattle Aquarium in Seattle,Washington,RR_culture_073,20,,,,,,,,culture-temperature,Total GDGTs,Total GDGTs; Acid hydrolyzed TLEs (CLs + cleaved IPLs),0.22,100.0,22.76,13.91,10.84,4.26,47.99,0.24,,,,,,,,,,0.22760000000000002,0.1391,0.1084,0.0426,0.4799,0.0024,,Culture,Culture - AOA,Qin et al. (2015) PNAS,Data from original source,Data from original source,No,No,Not reported,No,No,Pass,Pass,Qin et al. (2015),Wei,https://doi.org/10.1073/pnas.1501568112,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.5244444444444444,2.4128999999999996,0.6032249999999999,2.544600938967136,0.3755825996892802,0.22760000000000002,2.099317135802469,-0.3135828641975307
RR00074,Qin2015_003_Nitrosopumilus maritimus SCM1_Culture_T25,SCM1,Nitrosopumilus maritimus SCM1,7.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus maritimus,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus maritimus,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,a tropical marine fish tank at the Seattle Aquarium in Seattle,Washington,RR_culture_074,25,,,,,,,,culture-temperature,Total GDGTs,Total GDGTs; Acid hydrolyzed TLEs (CLs + cleaved IPLs),0.22,100.0,21.62,12.02,7.32,4.76,53.91,0.37,,,,,,,,,,0.2162,0.1202,0.0732,0.047599999999999996,0.5390999999999999,0.0037,,Culture,Culture - AOA,Qin et al. (2015) PNAS,Data from original source,Data from original source,No,No,Not reported,No,No,Pass,Pass,Qin et al. (2015),Wei,https://doi.org/10.1073/pnas.1501568112,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.5087862689006946,2.5805999999999996,0.6451499999999999,1.5378151260504203,0.3074763970400613,0.2162,2.0576612847871396,-0.52293871521286
RR00075,Qin2015_004_Nitrosopumilus maritimus SCM1_Culture_T30,SCM1,Nitrosopumilus maritimus SCM1,7.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus maritimus,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus maritimus,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,a tropical marine fish tank at the Seattle Aquarium in Seattle,Washington,RR_culture_075,30,,,,,,,,culture-temperature,Total GDGTs,Total GDGTs; Acid hydrolyzed TLEs (CLs + cleaved IPLs),0.22,99.99999999999999,13.47,9.63,9.37,4.37,62.58,0.58,,,,,,,,,,0.13470000000000001,0.09630000000000002,0.0937,0.04370000000000001,0.6258,0.0058000000000000005,,Culture,Culture - AOA,Qin et al. (2015) PNAS,Data from original source,Data from original source,No,No,Not reported,No,No,Pass,Pass,Qin et al. (2015),Wei,https://doi.org/10.1073/pnas.1501568112,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.5979123173277662,2.9412000000000003,0.7353000000000001,2.1441647597254003,0.27007974113024386,0.13470000000000001,2.316504657842321,-0.6246953421576791
RR00076,Qin2015_005_Nitrosopumilus maritimus SCM1_Culture_T33,SCM1,Nitrosopumilus maritimus SCM1,7.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus maritimus,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus maritimus,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,a tropical marine fish tank at the Seattle Aquarium in Seattle,Washington,RR_culture_076,33,,,,,,,,culture-temperature,Total GDGTs,Total GDGTs; Acid hydrolyzed TLEs (CLs + cleaved IPLs),0.22,100.0,6.04,6.14,11.97,3.56,71.73,0.56,,,,,,,,,,0.0604,0.061399999999999996,0.1197,0.0356,0.7173,0.005600000000000001,,Culture,Culture - AOA,Qin et al. (2015) PNAS,Data from original source,Data from original source,No,No,Not reported,No,No,Pass,Pass,Qin et al. (2015),Wei,https://doi.org/10.1073/pnas.1501568112,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.7237966711650923,3.2992000000000004,0.8248000000000001,3.3623595505617976,0.23063005534269898,0.0604,2.7719635455525795,-0.5272364544474208
RR00077,Qin2015_006_Nitrosopumilus maritimus SCM1_Culture_T35,SCM1,Nitrosopumilus maritimus SCM1,7.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus maritimus,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus maritimus,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,a tropical marine fish tank at the Seattle Aquarium in Seattle,Washington,RR_culture_077,35,,,,,,,,culture-temperature,Total GDGTs,Total GDGTs; Acid hydrolyzed TLEs (CLs + cleaved IPLs),0.22,99.99000000000001,5.78,4.71,11.26,3.49,73.91,0.84,,,,,,,,,,0.057805780578057804,0.0471047104710471,0.1126112611261126,0.0349034903490349,0.7391739173917391,0.0084008400840084,,Culture,Culture - AOA,Qin et al. (2015) PNAS,Data from original source,Data from original source,No,No,Not reported,No,No,Pass,Pass,Qin et al. (2015),Wei,https://doi.org/10.1073/pnas.1501568112,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.7679802955665025,3.3673367336733673,0.8418341834183418,3.2263610315186244,0.20655981318331385,0.057805780578057804,2.9567703705501227,-0.41056636312324457
RR00078,Qin2015_007_Nitrosopumilus cobalaminigenes HCA1_Culture_T10,HCA1,Nitrosopumilus cobalaminigenes HCA1,2.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosopumilus,,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_078,10,,,,,,,,culture-temperature,Total GDGTs,Total GDGTs; Acid hydrolyzed TLEs (CLs + cleaved IPLs),0.22,100.0,59.34,4.04,2.09,1.71,32.51,0.31,,,,,,,,,,0.5934,0.0404,0.0209,0.0171,0.3251,0.0031,,Culture,Culture - AOA,Qin et al. (2015) PNAS,Data from original source,Data from original source,No,No,Not reported,No,No,Pass,Pass,Qin et al. (2015),Wei,https://doi.org/10.1073/pnas.1501568112,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.5042944785276073,1.4463,0.361575,1.222222222222222,0.1928184948352189,0.5934,2.0460121494975345,0.5997121494975346
RR00079,Qin2015_008_Nitrosopumilus cobalaminigenes HCA1_Culture_T15,HCA1,Nitrosopumilus cobalaminigenes HCA1,2.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosopumilus,,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_079,15,,,,,,,,culture-temperature,Total GDGTs,Total GDGTs; Acid hydrolyzed TLEs (CLs + cleaved IPLs),0.22,100.0,57.6,3.34,1.88,1.71,35.17,0.3,,,,,,,,,,0.5760000000000001,0.0334,0.018799999999999997,0.0171,0.3517,0.003,,Culture,Culture - AOA,Qin et al. (2015) PNAS,Data from original source,Data from original source,No,No,Not reported,No,No,Pass,Pass,Qin et al. (2015),Wei,https://doi.org/10.1073/pnas.1501568112,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.5380359612724759,1.5411000000000001,0.38527500000000003,1.0994152046783623,0.16344339622641507,0.5760000000000001,2.136794859286552,0.5956948592865521
RR00080,Qin2015_009_Nitrosopumilus cobalaminigenes HCA1_Culture_T20,HCA1,Nitrosopumilus cobalaminigenes HCA1,2.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosopumilus,,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_080,20,,,,,,,,culture-temperature,Total GDGTs,Total GDGTs; Acid hydrolyzed TLEs (CLs + cleaved IPLs),0.22,100.0,50.22,3.73,2.37,2.15,41.27,0.26,,,,,,,,,,0.5022,0.0373,0.023700000000000002,0.0215,0.4127,0.0026,,Culture,Culture - AOA,Qin et al. (2015) PNAS,Data from original source,Data from original source,No,No,Not reported,No,No,Pass,Pass,Qin et al. (2015),Wei,https://doi.org/10.1073/pnas.1501568112,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.5616921269095183,1.8104,0.4526,1.102325581395349,0.16572920851747688,0.5022,2.2049505731143704,0.39455057311437036
RR00081,Qin2015_010_Nitrosopumilus cobalaminigenes HCA1_Culture_T25,HCA1,Nitrosopumilus cobalaminigenes HCA1,2.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosopumilus,,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_081,25,,,,,,,,culture-temperature,Total GDGTs,Total GDGTs; Acid hydrolyzed TLEs (CLs + cleaved IPLs),0.22,100.0,38.09,4.52,2.71,2.54,51.78,0.36,,,,,,,,,,0.3809,0.0452,0.0271,0.0254,0.5178,0.0036,,Culture,Culture - AOA,Qin et al. (2015) PNAS,Data from original source,Data from original source,No,No,Not reported,No,No,Pass,Pass,Qin et al. (2015),Wei,https://doi.org/10.1073/pnas.1501568112,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.5538005923000986,2.2612000000000005,0.5653000000000001,1.0669291338582678,0.15780972379260216,0.3809,2.1818012627549646,-0.07939873724503599
RR00082,Qin2015_011_Nitrosopumilus cobalaminigenes HCA1_Culture_T30,HCA1,Nitrosopumilus cobalaminigenes HCA1,2.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosopumilus,,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_082,30,,,,,,,,culture-temperature,Total GDGTs,Total GDGTs; Acid hydrolyzed TLEs (CLs + cleaved IPLs),0.22,100.0,27.23,3.95,1.97,1.45,64.9,0.5,,,,,,,,,,0.2723,0.0395,0.0197,0.014499999999999999,0.649,0.005,,Culture,Culture - AOA,Qin et al. (2015) PNAS,Data from original source,Data from original source,No,No,Not reported,No,No,Pass,Pass,Qin et al. (2015),Wei,https://doi.org/10.1073/pnas.1501568112,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.4980940279542565,2.7384,0.6846,1.3586206896551725,0.1012779991754844,0.2723,2.030151831945092,-0.708248168054908
